Различия между файлами:

id_r_visit id_tarif            code prvs sub_hosp purpose vid_fin    tarif tarif_1 tarif_3 tarif_4 tarif_6     d_from       d_to                                                       comment     _merge
     21910    16271 B04.001.001.004    2      181     700       1  2575.72    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                    Диспансерное наблюдение (иные заболевания) right_only
     21911    16272 B04.015.003.003   25      181     700       1  4456.20    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31 Диспансерное наблюдение (болезни сердечно-сосудистой системы) right_only
     21912    16273 B04.023.001.004   35      181     700       1  2575.72    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                    Диспансерное наблюдение (иные заболевания) right_only
     21913    16274 B04.027.001.001   41      181     700       1  6280.41    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                           Диспансерное наблюдение (онкология) right_only
     21914    16275 B04.027.001.004   41      181     700       1  2575.72    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                    Диспансерное наблюдение (иные заболевания) right_only
     21915    16276 B04.028.001.004   45      181     700       1  2575.72    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                    Диспансерное наблюдение (иные заболевания) right_only
     21916    16277 B04.029.001.004   46      181     700       1  2575.72    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                    Диспансерное наблюдение (иные заболевания) right_only
     21917    16278 B04.053.001.004   84      181     700       1  2575.72    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                    Диспансерное наблюдение (иные заболевания) right_only
     21918    16279 B04.057.001.004   90      181     700       1  2575.72    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                    Диспансерное наблюдение (иные заболевания) right_only
     21919    16280 B04.058.002.004   92      181     700       1  2575.72    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                    Диспансерное наблюдение (иные заболевания) right_only
     21920    16281     B04.001.001    2      181     340       1   964.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21921    16282     B04.001.001    2      181     341       1   964.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21922    16283     B04.001.001    2      181     342       1   964.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21923    16284     B04.004.001    8      181     340       1   707.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21924    16285     B04.004.001    8      181     341       1   707.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21925    16286     B04.004.001    8      181     342       1   707.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21926    16287     B04.015.003   25      181     340       1   728.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21927    16288     B04.015.003   25      181     341       1   728.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21928    16289     B04.015.003   25      181     342       1   728.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21929    16290     B04.023.001   35      181     340       1   804.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21930    16291     B04.023.001   35      181     341       1   804.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21931    16292     B04.023.001   35      181     342       1   804.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21932    16293     B04.027.001   41      181     340       1   733.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21933    16294     B04.027.001   41      181     341       1   733.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21934    16295     B04.027.001   41      181     342       1   733.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
     21935    16296     B04.028.001   45      181     340       1   621.00    0.00    0.00    0.00    0.00 2024-09-01 2024-12-31                                                          None right_only
